Species,scheme,dpsi,inst,source,genus,species,subsp,ID
Beta maritima subsp. marcosii,CGAIN,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,CGAIN,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,CGAIN,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
Cistus albidus,CGAIN,FALSE,TRUE,Galmes et al. (2007),Cistus,albidus,NA,1624
Diplotaxis ibicensis,CGAIN,FALSE,TRUE,Galmes et al. (2007),Diplotaxis,ibicensis,NA,1630
Hypericum balearicum,CGAIN,FALSE,TRUE,Galmes et al. (2007),Hypericum,balearicum,NA,1627
Limonium gibertii,CGAIN,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,1626
Limonium magallufianum,CGAIN,FALSE,TRUE,Galmes et al. (2007),Limonium,magallufianum,NA,1625
Malva subovata,CGAIN,FALSE,TRUE,Galmes et al. (2007),Malva,subovata,NA,1629
Phlomis italica,CGAIN,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,CGAIN,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pistacia lentiscus,CGAIN,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Populus tremula,CGAIN,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
Beta maritima subsp. marcosii,CMAX,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,CMAX,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,CMAX,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
Cistus albidus,CMAX,FALSE,TRUE,Galmes et al. (2007),Cistus,albidus,NA,1624
Diplotaxis ibicensis,CMAX,FALSE,TRUE,Galmes et al. (2007),Diplotaxis,ibicensis,NA,1630
Hypericum balearicum,CMAX,FALSE,TRUE,Galmes et al. (2007),Hypericum,balearicum,NA,1627
Limonium gibertii,CMAX,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,1626
Limonium magallufianum,CMAX,FALSE,TRUE,Galmes et al. (2007),Limonium,magallufianum,NA,1625
Malva subovata,CMAX,FALSE,TRUE,Galmes et al. (2007),Malva,subovata,NA,1629
Phlomis italica,CMAX,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,CMAX,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pistacia lentiscus,CMAX,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Populus tremula,CMAX,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
Beta maritima subsp. marcosii,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,PHYDRO,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
