ID,Binomial,Genus,Species,Height.actual..m.,Latitude,Longitude,Altitude..m.,MATbest,PPTbest,taxon,Height.max..m.,P50..MPa.,P12..MPa.,P88..MPa.,Slope,Ks..kg.m.1.MPa.1.s.1.,KL..kg.m.1.MPa.1.s.1.,Huber.value,SLA..cm2.g.1.
1598,Allocasuarina luehmannii,Allocasuarina,luehmannii,0.38,-36.5833333333333,143.883333333333,140,15.03,469.52,Allocasuarina_luehmannii,13.949185666666667,-2.58779770813269,-1.7641633012791094,-4.661673436356897,46.199693241535314,3.21617321198557,0.022312381333306004,2.4346310329699704e-4,50.85316782590269
1631,Beta maritima subsp.marcosii,Beta,vulgaris,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Beta_vulgaris,1,-2.7522106364269514,-1.1678458503059272,-4.271584601783884,25.81023525239352,1.1848825867531467,0.02208552802069553,9.225245905161153e-4,68.4178593224544
1632,Beta maritima subsp. maritima,Beta,vulgaris,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Beta_vulgaris,1,-2.7522106364269514,-1.1678458503059272,-4.271584601783884,25.81023525239352,1.1848825867531467,0.02208552802069553,9.225245905161153e-4,68.4178593224544
1610,Betula pendula,Betula,pendula,0.55,60.23,25.02,20,5.6,603,Betula_pendula,24.048141,-2.01,-1.7,-2.579837008890881,101.89258328036473,8.700511613902092,2.484305008173852e-4,2.539521377884109e-4,74.06151237074312
1615,Broussonetia papyrifera,Broussonetia,papyrifera,NA,26.4333333333333,106.683333333333,1147,15.605,1081.44,Broussonetia_papyrifera,10,-0.493092146233794,-0.27114879228259153,-0.955470004064967,70.016918741449,4.901529318304936,0.010346676898700004,1.3984499052547634e-4,113.1725996872662
1599,Cedrus atlantica,Cedrus,atlantica,0.25,44.0833333333333,3.03333333333333,650,12.15,736.2,Cedrus_atlantica,41.72784956043956,-4.98,-4.11,-6.204511832480008,28.8,0.7382837752532381,4.128656397010699e-4,4.4996537188309434e-4,45.8175114074392
1616,Cinnamomum bodinieri,Cinnamomum,bodinieri,NA,26.4333333333333,106.683333333333,1147,15.605,1081.44,Cinnamomum_bodinieri,16,-1.5149571512033095,-0.8640626914043401,-2.393700819624735,65.24736817333984,3.6861842294100957,0.0012177733367266593,2.781728781833332e-4,107.33285995073867
1624,Cistus albidus,Cistus,albidus,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Cistus_albidus,1,-3.6558331177498706,-1.5965936967546748,-5.1455182742679995,28.480813906613847,0.8169223056614139,0.009404205458400025,3.6283221738166464e-4,101.91850958108405
1630,Diplotaxis ibicensis,Diplotaxis,ibicensis,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,Diplotaxis_ibicensis,1,-2.447934408346319,-0.8290367470631957,-4.912352509582834,18.932539406339178,0.6156380611105715,0.062399270112356006,4.321613887720719e-4,91.6424049782133
1602,Eucalyptus pilularis,Eucalyptus,pilularis,NA,NA,NA,NA,16.86887,1110.789,Eucalyptus_pilularis,20.09033,-2.65585121887169,-1.4555096291181644,-4.21650872895131,21.442151822574672,3.139777918181976,5.146215426333424e-4,1.655986856000003e-4,39.911727549229305
