taxon,P88..MPa.,P50..MPa.,P12..MPa.,Height.max..m.,SLA..cm2.g.1.,Huber.value,KL..kg.m.1.MPa.1.s.1.,Ks..kg.m.1.MPa.1.s.1.
Abies_alba,-4.5441100596,-3.7882000000000002,-3.0182899404,52,61.35523737893293,5.88e-5,1.1863671585714356e-4,1.299505
Abies_balsamea,-3.02,-2.6470798914444447,-1.5033333333333332,30,42.8,0.00266,2.6619999999999997e-4,1.1225228393
Abies_concolor,-5.8255,-4.761106666666667,-3.249,60,47.432437744689985,0.23040963785713395,1.1152930903809681e-4,0.8768685
Abies_grandis,-4.067738939,-3.6511666665,-3.2345943945,55,42.81996366035889,0.008719953294551587,0.0432213130136333,1.0037948809189285
Abies_lasiocarpa,-4.3902838345,-3.4071108333333333,-2.1141745704285713,42.8,55.41265799160329,3.34533e-4,6.28e-5,1.0857816
Abies_nordmanniana,-5,-4,-3.1,40,60.88418638360526,0.049049463048065255,1.5162950799523878e-4,0.6
Abies_pinsapo,-4.7121938585,-4.150333333500001,-3.5884728084999997,42.5,62.9025638858189,0.1436513677551597,1.3066036565238145e-4,0.9518331628390363
Acacia_colletioides,-3.4573448760359695,-1.3897264993004328,-0.46869915180138194,2.6,23.67210723,0.001021848,0.018734942313666767,0.6465507824829347
Acacia_constricta,-3.97,-1.168280202856051,-0.501628527457398,9.021786666666683,67.80873590736157,0.01805369793799992,0.014752642164499914,2.71
Acacia_crassicarpa,-3.9174969849575034,-1.6869741038063575,-0.7070324658799589,20,126.6961446,5.59e-5,5.1442e-4,8.65
Acacia_cyclops,-1.5,-0.91,-0.36,5,94.74990509545813,0.01110330936139663,0.40543755411800014,1.2456744104440032
Acacia_dealbata,-3.630015388650371,-2.6701109161728698,-0.6067450370708534,7,116.60584970000001,8.23e-5,1.7819e-4,2.6950000000000003
Acacia_flavescens,-3.558836399555508,-1.6294936013744898,-0.6765019493322113,18,73.56556785000001,1.215585e-4,8.366440000000001e-4,7.58
Acacia_gerrardii,-3.836015051064767,-2.850067703027562,-0.5635553963083474,5.276633333333343,72.9531412447402,2.4979909485714074e-4,0.00921360270756665,2.567785309050497
Acacia_greggii,-4.06,-0.881,-0.48770555996431453,9.476686666666687,64.9258951092092,0.01567396158749996,0.01701667947699988,3.88
Acacia_havilandiorum,-3.4573448760359695,-1.3897264993004328,-0.46869915180138194,4,23.24019926,9.30187e-4,5.55792e-4,0.86
Acacia_holosericea,-3.7976756197730306,-2.844464867707323,-0.5652505436773753,3,75.2062675,1.13544e-4,5.86967e-4,4.1
Acacia_leptostachya,-3.256163956095461,-1.4660219244632753,-0.53558201784442,1.5,55.56155909,2.39501e-4,8.39e-5,0.28
Acacia_mangium,-3.9174969849575034,-1.6869741038063575,-0.7070324658799589,30,98.86698436,1.22149e-4,5.21054e-4,3.48
Acacia_parvipinnula,-3.661997947555683,-2.7232522071770187,-0.7365688943540953,6,176.6107618,9.17e-5,1.16555e-4,0.91
Acacia_terminalis,-3.6200591617701967,-2.7214382259923893,-0.7419925681245964,4.5,68.62137082,1.29371e-4,4.71e-5,0.43
Acer_campestre,-4.599534483,-3.8685,-3.187465517,15,166.557276688455,0.004906142792793614,5.872729165666611e-4,0.43
Acer_glabrum,-3.1982165741077573,-2.3,-1.3591274283213806,10,118.8544361670756,0.0030485163398333375,0.0016929140316666682,1.17
Acer_monspessulanum,-4.63143552475,-3.7912500000000002,-2.88106447525,17,222.000222,2.93693e-4,1.45734e-4,0.705705147
Acer_negundo,-2.3995789206666664,-1.5344332857142857,-1.2070512303333334,21.666666666666668,123.24592051733364,1.24e-4,7.8e-4,4.689964285714286
Acer_opalus,-3.781590909,-3.4225,-2.963409091,15,150.85165452262896,0.011445068565853036,5.776316313333276e-4,0.18
Acer_platanoides,-3.4930252525,-2.9905,-2.4629747474999997,30,145.516029967364,1.4992394566666766e-4,5.685907236666596e-4,0.45
Acer_pseudoplatanus,-2.710598039,-2.3655,-1.945401961,30,128.93371127036983,0.002517822783343196,6.869579894999967e-4,0.38
Acer_rubrum,-3.3,-2.32,-0.9,25,142.9803337,1.634435e-4,2.85e-4,2.4166666666666665
Acer_saccharinum,-3.459793058770403,-2.6603335667627843,-1.3264060665111268,35,131.21731487868345,1.7e-4,5.5e-4,4.7
Acer_saccharum,-3.7243846153846154,-2.4073529411764705,-1.1075,22.5,139.82608449116248,1.135e-4,4.145e-4,6.916
Acinodendron_pohlianum,-5.274059857662501,-3.1,-1.6271677861662623,13.322600000000005,88.19291637546071,2.9e-4,0.001092,4.73
Acmopyle_pancheri,-4.8601756755,-3.3795,-1.9788243245000001,20,49.919512561179666,2.02e-4,6.6e-5,0.33
Actinostrobus_acuminatus,-13.145020151965898,-14.1,-11.05,14.604900000000004,31.066191888426765,0.004561120960430561,0.004839985551000015,1.343155646629334
Actinostrobus_arenarius,-13.14510256,-10.581,-8.016897436,4,17.842,7.22647e-4,4.40627e-4,0.609739846
Actinostrobus_pyramidalis,-13.28014765,-10.72575,-8.171352353,16.032700000000002,30.974783188693447,0.004561568780430561,0.0011223989859999917,1.343155646629334
Adansonia_fony,-2.82,-1.1,-0.293,25,100.47494304315269,0.01154436917000982,7.524185275333303e-4,4.277854386251981
Adansonia_za,-3.49,-1.7,-0.59,40,106.86016352229983,0.010285987440384878,6.83421748999997e-4,3.2721161713965587
Adenocalymma_inundatum,-6.7802860044668005,-4.144562077271097,-2.278871710741155,4.223124999999999,104.45217316165075,3.313322254999992e-4,0.02134002460140004,2.5
Adenostoma_fasciculatum,-11.119739256666666,-7.70315793975,-4.1277428480000005,9.721634666666665,59.1,1.108022629704167,0.370786564,0.81
Adenostoma_sparsifolium,-7.8230884355,-4.610991675,-2.068930032,10.366265333333342,114.3,0.030787015653499953,0.2954294212676343,1.6400000000000001
Adesmia_boronioides,-4.359799888000803,-2.1015490101656864,-1.0448076197745908,11.259756666666686,42.43,0.00125,4.2e-4,0.33
Agathis_australis,-3.2682737994001525,-1.84,-0.807576228843115,45.2,60.681587945937295,0.16193102513741275,1.8380027306666801e-4,1.59
Agathis_borneensis,-3.08,-1.91,-0.74,38.851066666666675,66.8451471496506,0.008414149963742231,0.001283137846099998,7.336549577613976
Agathis_lanceolata,-4.199761274599753,-2.682973649826017,-1.1648675614846835,36.9627409090909,53.22651970042966,2.6e-4,1.76e-4,0.95
Agathis_ovata,-3.1892678910269368,-1.77,-0.7655971207117438,25,55.577182878080556,0.01279777612852007,1.5982028200000042e-4,0.796
Agave_deserti,-1.954,-1.652,-0.679,1,49.95298214975012,0.05891200575409455,1.9e-4,0.003296
Agave_tequilana,-2.825850142919958,-1.74,-0.688,1,47.814539914208524,0.04073855580077838,0.1827182787332292,0.003604
Aglaia_glabrata,-1.48,-0.71,-0.2764978674037791,33.054199999999994,108.03394017702136,0.004448056832500003,0.3310778442670008,7.2220779464241405
Agonis_flexuosa,-4.75,-2.36,-0.01,10,88.78876352840142,0.00491032966891672,0.0012007345705238074,3.392081892930623
Albizia_julibrissin,-3.707419115291915,-0.0672269,-0.4541370675015804,10.246473333333359,73.81952868666043,0.008414260341884887,0.004012139176099995,2.046965
Aleurites_moluccanus,-3.74,-2.17,-0.59,17.077000000000023,99.66746487731027,0.010329423707340007,4.27e-4,3.57
Allocasuarina_campestris,-8.5,-2.96,-0.65,4,16.601,3.34865e-4,3.67802e-4,1.0983582
Allocasuarina_humilis,-6.28642784446525,-3.4904177034361754,-0.8908684213652525,1,13.556,4.45149e-4,3.13236e-4,0.703665763
Allocasuarina_littoralis,-5.321328868392275,-2.3946702030152616,-1.200893081311944,12,41.32561872,1.85433e-4,5.54685e-4,2.63
Allocasuarina_luehmannii,-4.597860133152414,-2.801155173145771,-1.0312283301306282,8.004601333333326,54.25985993180819,0.1124140858934094,5.802530040995779e-4,5.01757517002798
Allocasuarina_monilifera,-4.180673122262356,-3.0411631400712094,-1.1296334292699595,5,24.22860906,3.1827e-4,6.21969e-4,1.75
Allocasuarina_torulosa,-5.16118813675755,-2.450225323161486,-1.1777116215687122,15,45.44105372,2.237985e-4,8.043115e-4,3.295
Alnus_alnobetula,-1.9969999999999999,-1.447,-0.9279999999999999,15.255167333333363,76.07228835177843,3.53293e-4,1.17134e-4,0.8277319999999999
Alnus_cordata,-2.1486993465,-1.592,-1.0353006535,25,69.46063930261208,0.47263481438030625,2.8065773656667063e-4,3.3661558342311713
Alnus_glutinosa,-2.5076912635,-1.63188481175,-1.05607836025,25,62.843680100697284,0.44863066319383804,2.662659211848695e-4,3.125623675102737
Alnus_incana,-1.6775,-1.12825,-1.315,25,72.43829725573055,0.4704395608177869,1.512e-4,3.5188033016505993
Alnus_rhombifolia,-2.486192069,-1.251364351,-0.44317453,35,74.6953983732717,0.5280675362178128,0.0025573490476181794,7.48
Alnus_rubra,-3.8,-2.54,-1.34,22.68633333333333,68.03560115070383,0.5035803801776767,1.422e-4,4.348786624517087
Alphitonia_excelsa,-9.05,-5.56,-2.1,19.333333333333332,98.04849788666667,1.971e-4,9.09538e-4,4.463333333333333
Amborella_trichopoda,-4.07,-3,-2.21,6.5,82.14696085186839,2.35e-4,1.3e-4,0.54
Ambrosia_dumosa,-3.6378996552,-1.8077351568,-0.6274132885,0.9,137.6,0.0014839425638333433,1.933908121,0.65
Ambrosia_salsola,-4.5932797118,-2.0050231806000003,-0.4892153038,2.5,106,0.0019923454850000162,2.903076716,1.6
Amelanchier_alnifolia,-6.564503270421864,-4.37,-2.92989062236197,8.365461333333334,109.90451950741834,2.63473e-4,3.76324e-4,3.1731933333333333
Amelanchier_ovalis,-8.022758621,-6.873333333,-5.723908046,3,108.84095690103615,0.019292239502119224,0.05807909449300002,1.6288003510148616
Amelanchier_utahensis,-8.25927391980481,-6.55,-5.403305586504211,6.1981666666666655,124.31869329034306,0.005337848526762062,0.07952234965040036,6.93
Amyxa_pluricornis,-1.5,-0.63,-0.2843814753526122,28.973566666666667,120.827796605551,0.010178131503750014,0.320426374298167,8.247432227362962
Anacardium_excelsum,-3.321522839675829,-1.56,-0.4232478438397507,16.77888333333333,105.67726454736207,0.029292566615820085,0.020289957891733285,7.31109160129411
Angophora_costata,-3.8971783258635853,-2.2633562297906713,-0.5023979099887289,30,55.82553502,1.5047e-4,1.81494e-4,1.76
Annona_glabra,-5.4,-3.3,-0.01,20.711526666666664,102.7,3.5e-4,0.0018,9.1
Anthyllis_cytisoides,-2.097473791,-1.79,-1.482526209,11.87806666666668,80.52703059840313,4.99778e-4,3.19e-5,0.0724
Aotus_ericoides,-4.837649458952394,-3.4301988460034996,-2.596965019239342,1.4,68.87518777,5.40185e-4,3.220335e-4,0.825
Araucaria_columnaris,-4.5353329135389435,-3.3,-2.093981759028444,48.8,56.54483819661458,0.1421192912052261,1.6326836346666778e-4,1.9056157009254346
Araucaria_hunsteinii,-4.917457627,-4.07,-3.222542373,80,63.27172360976254,0.15984018913821849,2.2120324643333343e-4,5.687853784407967
Araucaria_laubenfelsii,-3.911793822679961,-2.4,-1.0473229066676772,68.8,56.26920669773836,0.14212214614272625,1.654683558000012e-4,0.273
Arbutus_unedo,-6.06118747975,-2.9302,-1.7774500162,11,67.58278892,5.01736e-4,2.29185e-4,0.886907697
