scheme,calibration_type,estimate,std.error,df,conf.low,conf.high,.group
PHYDRO,Calibrated α,3.630182172383658,0.7393109469580583,15.33996193764728,1.3452716174465102,5.915092727320806, a
PMAX,Calibrated α,3.7385299788503477,0.7393109469580591,15.33996193764747,1.4536194239132016,6.023440533787493, a
SOX,Calibrated α,3.8004421856494517,0.7393109469580584,15.339961937647193,1.5155316307123008,6.085352740586602, a
SOX2,Calibrated α,3.876648779513297,0.7393109469580725,15.339961937649687,1.5917382245761589,6.161559334450435, a
CGAIN,Calibrated α,4.098804043098661,0.7393109469580587,15.339961937647297,1.8138934881615123,6.38371459803581, a
PMAX3,Calibrated α,4.2632050137980775,0.7393109469580592,15.339961937647413,1.9782944588609293,6.548115568735225, a
PMAX2,Calibrated α,4.316548652488752,0.7393109469580593,15.339961937647612,2.0316380975516086,6.601459207425895, a
SOX,Average α,4.187703821617424,0.7393109469580628,15.339961937647745,1.902793266680272,6.472614376554576, a 
PMAX,Average α,4.23811687305528,0.7393109469580627,15.33996193764768,1.953206318118128,6.5230274279924325, a 
SOX2,Average α,4.376242003411826,0.7393109469580604,15.339961937647422,2.091331448474674,6.661152558348977, a 
PMAX3,Average α,4.788916929144374,0.7393109469580625,15.33996193764766,2.5040063742072216,7.0738274840815265, ab
PMAX2,Average α,5.010037521785526,0.7393109469580627,15.339961937647631,2.7251269668483733,7.2949480767226795, ab
PHYDRO,Average α,5.171223037532793,0.7393109469580625,15.339961937647717,2.8863124825956414,7.456133592469945, ab
CGAIN,Average α,5.6136948660523895,0.7393109469580628,15.339961937647745,3.3287843111152378,7.898605420989542,  b
PHYDRO,Not acclimated,4.689888770387461,0.7393109469580625,15.339961937647708,2.4049782154503094,6.9747993253246126, a
PMAX,Not acclimated,4.9257638618728565,0.7393109469580627,15.33996193764766,2.6408533069357034,7.21067441681001, a
SOX,Not acclimated,4.941816003916084,0.7393109469580628,15.339961937647697,2.656905448978931,7.226726558853237, a
SOX2,Not acclimated,5.181912111627561,0.7393109469580605,15.339961937647413,2.897001556690409,7.466822666564713, a
CGAIN,Not acclimated,5.205063952288284,0.7393109469580628,15.339961937647717,2.920153397351131,7.489974507225437, a
PMAX3,Not acclimated,5.451007829220731,0.7393109469580625,15.33996193764766,3.1660972742835782,7.735918384157884, a
PMAX2,Not acclimated,5.491990167373218,0.7393109469580625,15.339961937647631,3.207079612436065,7.776900722310371, a
